"","molecular_formula","C","H","O","N","P","S","AImod","NOSC","GFE","HC","OC","El","Class1","Class2","Class3"
"C24 H19 O11 N3","C24 H19 O11 N3",24,19,11,3,0,0,0.5484,0.5,46.05,0.79,0.46,"CHON","Cond Hydrocarbon","aromatic","aromatic"
"C27 H46 O8 13C1","C27 H46 O8 13C1",27,46,8,0,0,0,0.0435,-1.1111,91.96635,1.7,0.3,"CHO","Lipid","aliphatic","aliphatic"
"C22 H23 O14 N1","C22 H23 O14 N1",22,23,14,1,0,0,0.2857,0.3636,49.9374,1.05,0.64,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C29 H53 O6 N1","C29 H53 O6 N1",29,53,6,1,0,0,0,-1.3103,97.64355,1.83,0.21,"CHON","Lipid","aliphatic","aliphatic+N"
"C22 H24 O14 13C1","C22 H24 O14 13C1",22,24,14,0,0,0,0.2667,0.1818,55.1187,1.09,0.64,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C21 H23 O13 N3","C21 H23 O13 N3",21,23,13,3,0,0,0.2174,0.5714,44.0151,1.1,0.62,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C26 H23 O11 N1","C26 H23 O11 N1",26,23,11,1,0,0,0.4872,0.0769,58.10835,0.88,0.42,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C23 H27 O13 N1","C23 H27 O13 N1",23,27,13,1,0,0,0.2258,0.087,57.8205,1.17,0.57,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C23 H28 O13 13C1","C23 H28 O13 13C1",23,28,13,0,0,0,0.2121,-0.087,62.7795,1.22,0.57,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C22 H27 O12 N3","C22 H27 O12 N3",22,27,12,3,0,0,0.1538,0.2727,52.52805,1.23,0.55,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C20 H31 O15 N1","C20 H31 O15 N1",20,31,15,1,0,0,-0.2174,0.1,57.45,1.55,0.75,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C24 H31 O12 N1","C24 H31 O12 N1",24,31,12,1,0,0,0.1765,-0.1667,65.05095,1.29,0.5,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C24 H32 O12 13C1","C24 H32 O12 13C1",24,32,12,0,0,0,0.1667,-0.3333,69.79905,1.33,0.5,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C21 H35 O14 N1","C21 H35 O14 N1",21,35,14,1,0,0,-0.2308,-0.1905,65.72925,1.67,0.67,"CHON","Amino Sugar","aliphatic","aliphatic+N"
"C25 H35 O11 N1","C25 H35 O11 N1",25,35,11,1,0,0,0.1351,-0.4,71.7,1.4,0.44,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C25 H36 O11 13C1","C25 H36 O11 13C1",25,36,11,0,0,0,0.1282,-0.56,76.26,1.44,0.44,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C22 H39 O13 N1","C22 H39 O13 N1",22,39,13,1,0,0,-0.2414,-0.4545,73.25325,1.77,0.59,"CHON","Amino Sugar","aliphatic","aliphatic+N"
"C26 H39 O10 N1","C26 H39 O10 N1",26,39,10,1,0,0,0.1,-0.6154,77.8389,1.5,0.38,"CHON","Protein","aliphatic","aliphatic+N"
"C18 H25 O15 P1","C18 H25 O15 P1",18,25,15,0,1,0,-0.1579,0,60.3,1.39,0.83,"CHOP","Other","unsaturated/lignin","unsaturated/lignin"
"C26 H40 O10 13C1","C26 H40 O10 13C1",26,40,10,0,0,0,0.0952,-0.7692,82.2222,1.54,0.38,"CHO","Protein","aliphatic","aliphatic"
"C23 H43 O12 N1","C23 H43 O12 N1",23,43,12,1,0,0,-0.25,-0.6957,80.12745,1.87,0.52,"CHON","Protein","aliphatic","aliphatic+N"
"C22 H43 O11 N3","C22 H43 O11 N3",22,43,11,3,0,0,-0.4074,-0.5455,75.84675,1.95,0.5,"CHON","Protein","aliphatic","aliphatic+N"
"C27 H43 O9 N1","C27 H43 O9 N1",27,43,9,1,0,0,0.0698,-0.8148,83.5218,1.59,0.33,"CHON","Protein","aliphatic","aliphatic+N"
"C27 H44 O9 13C1","C27 H44 O9 13C1",27,44,9,0,0,0,0.0667,-0.963,87.7455,1.63,0.33,"CHO","Protein","aliphatic","aliphatic"
"C24 H47 O11 N1","C24 H47 O11 N1",24,47,11,1,0,0,-0.2571,-0.9167,86.42595,1.96,0.46,"CHON","Protein","aliphatic","aliphatic+N"
"C18 H28 O15 N2","C18 H28 O15 N2",18,28,15,2,0,0,-0.4118,0.4444,47.6346,1.56,0.83,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C20 H37 O11 N2 P1","C20 H37 O11 N2 P1",20,37,11,2,1,0,-0.3913,-0.7,80.25,1.85,0.55,"CHONP","Protein","aliphatic","aliphatic+N"
"C24 H14 O14","C24 H14 O14",24,14,14,0,0,0,0.6471,0.5833,43.67595,0.58,0.58,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C21 H18 O16","C21 H18 O16",21,18,16,0,0,0,0.3846,0.6667,41.29905,0.86,0.76,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C25 H18 O13","C25 H18 O13",25,18,13,0,0,0,0.5676,0.32,51.18,0.72,0.52,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C22 H22 O15","C22 H22 O15",22,22,15,0,0,0,0.3103,0.3636,49.9374,1,0.68,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C21 H22 O14 N2","C21 H22 O14 N2",21,22,14,2,0,0,0.25,0.5714,44.0151,1.05,0.67,"CHON","Tannin","unsaturated/lignin","unsaturated/lignin"
"C26 H22 O12","C26 H22 O12",26,22,12,0,0,0,0.5,0.0769,58.10835,0.85,0.46,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C23 H26 O14","C23 H26 O14",23,26,14,0,0,0,0.25,0.087,57.8205,1.13,0.61,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C22 H26 O13 N2","C22 H26 O13 N2",22,26,13,2,0,0,0.1852,0.2727,52.52805,1.18,0.59,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C27 H26 O11","C27 H26 O11",27,26,11,0,0,0,0.4419,-0.1481,64.52085,0.96,0.41,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C24 H30 O11 S1","C24 H30 O11 S1",24,30,11,0,0,1,0.2,-0.25,67.425,1.25,0.46,"CHOS","Lignin","unsaturated/lignin","unsaturated/lignin"
"C19 H30 O15 N2","C19 H30 O15 N2",19,30,15,2,0,0,-0.3684,0.3158,51.2997,1.58,0.79,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C24 H30 O13","C24 H30 O13",24,30,13,0,0,0,0.2,-0.1667,65.05095,1.25,0.54,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C17 H39 O10 N2 P1 S2","C17 H39 O10 N2 P1 S2",17,39,10,2,1,2,-1.4286,-0.8235,83.76975,2.29,0.59,"CHONPS","Other","aliphatic","lipid"
"C21 H35 O13 P1","C21 H35 O13 P1",21,35,13,0,1,0,-0.1852,-0.6667,79.30095,1.67,0.62,"CHOP","Amino Sugar","aliphatic","aliphatic"
"C28 H30 O10","C28 H30 O10",28,30,10,0,0,0,0.3913,-0.3571,70.47735,1.07,0.36,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C25 H34 O12","C25 H34 O12",25,34,12,0,0,0,0.1579,-0.4,71.7,1.36,0.48,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C24 H20 O12 13C1","C24 H20 O12 13C1",24,20,12,0,0,0,0.5,0.1667,55.54905,0.83,0.5,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C26 H38 O11","C26 H38 O11",26,38,11,0,0,0,0.122,-0.6154,77.8389,1.46,0.42,"CHO","Protein","unsaturated/lignin","unsaturated/lignin"
"C20 H23 O13 N3","C20 H23 O13 N3",20,23,13,3,0,0,0.1429,0.6,43.2,1.15,0.65,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C27 H42 O10","C27 H42 O10",27,42,10,0,0,0,0.0909,-0.8148,83.5218,1.56,0.37,"CHO","Protein","aliphatic","aliphatic"
"C21 H27 O12 N3","C21 H27 O12 N3",21,27,12,3,0,0,0.0833,0.2857,52.15755,1.29,0.57,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C28 H46 O9","C28 H46 O9",28,46,9,0,0,0,0.0638,-1,88.8,1.64,0.32,"CHO","Protein","aliphatic","aliphatic"
"C29 H50 O8","C29 H50 O8",29,50,8,0,0,0,0.04,-1.1724,93.7134,1.72,0.28,"CHO","Lipid","aliphatic","aliphatic"
"C30 H54 O7","C30 H54 O7",30,54,7,0,0,0,0.0189,-1.3333,98.29905,1.8,0.23,"CHO","Lipid","aliphatic","aliphatic"
"C20 H35 O14 N1","C20 H35 O14 N1",20,35,14,1,0,0,-0.3333,-0.2,66,1.75,0.7,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C24 H17 O13 N1","C24 H17 O13 N1",24,17,13,1,0,0,0.5758,0.5,46.05,0.71,0.54,"CHON","Cond Hydrocarbon","aromatic","aromatic"
"C21 H21 O15 N1","C21 H21 O15 N1",21,21,15,1,0,0,0.28,0.5714,44.0151,1,0.71,"CHON","Tannin","unsaturated/lignin","unsaturated/lignin"
"C21 H22 O15 13C1","C21 H22 O15 13C1",21,22,15,0,0,0,0.2593,0.381,49.4415,1.05,0.71,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C25 H21 O12 N1","C25 H21 O12 N1",25,21,12,1,0,0,0.5,0.24,53.46,0.84,0.48,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C25 H22 O12 13C1","C25 H22 O12 13C1",25,22,12,0,0,0,0.4737,0.08,58.02,0.88,0.48,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C24 H21 O11 N3","C24 H21 O11 N3",24,21,11,3,0,0,0.4839,0.4167,48.42405,0.88,0.46,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C17 H25 O16 N3","C17 H25 O16 N3",17,25,16,3,0,0,-0.6667,0.9412,33.4758,1.47,0.94,"CHON","Other","unsaturated/lignin","unsaturated/lignin"
"C22 H25 O14 N1","C22 H25 O14 N1",22,25,14,1,0,0,0.2143,0.2727,52.52805,1.14,0.64,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C22 H26 O14 13C1","C22 H26 O14 13C1",22,26,14,0,0,0,0.2,0.0909,57.70935,1.18,0.64,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C27 H47 O8 N1","C27 H47 O8 N1",27,47,8,1,0,0,0,-1.037,89.8545,1.74,0.3,"CHON","Lipid","aliphatic","aliphatic+N"
"C26 H25 O11 N1","C26 H25 O11 N1",26,25,11,1,0,0,0.4359,0,60.3,0.96,0.42,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C23 H29 O13 N1","C23 H29 O13 N1",23,29,13,1,0,0,0.1613,0,60.3,1.26,0.57,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C23 H30 O13 13C1","C23 H30 O13 13C1",23,30,13,0,0,0,0.1515,-0.1739,65.25615,1.3,0.57,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C27 H29 O10 N1","C27 H29 O10 N1",27,29,10,1,0,0,0.381,-0.2222,66.6327,1.07,0.37,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C20 H33 O15 N1","C20 H33 O15 N1",20,33,15,1,0,0,-0.3043,0,60.3,1.65,0.75,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C24 H33 O12 N1","C24 H33 O12 N1",24,33,12,1,0,0,0.1176,-0.25,67.425,1.38,0.5,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C24 H34 O12 13C1","C24 H34 O12 13C1",24,34,12,0,0,0,0.1111,-0.4167,72.17595,1.42,0.5,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C21 H30 O14 13C1","C21 H30 O14 13C1",21,30,14,0,0,0,0,-0.0952,63.0132,1.43,0.67,"CHO","Amino Sugar","unsaturated/lignin","unsaturated/lignin"
"C28 H33 O9 N1","C28 H33 O9 N1",28,33,9,1,0,0,0.3333,-0.4286,72.5151,1.18,0.32,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C17 H23 O16 P1","C17 H23 O16 P1",17,23,16,0,1,0,-0.25,0.2353,53.59395,1.35,0.94,"CHOP","Other","unsaturated/lignin","unsaturated/lignin"
"C21 H37 O14 N1","C21 H37 O14 N1",21,37,14,1,0,0,-0.3077,-0.2857,68.44245,1.76,0.67,"CHON","Amino Sugar","aliphatic","aliphatic+N"
"C25 H37 O11 N1","C25 H37 O11 N1",25,37,11,1,0,0,0.0811,-0.48,73.98,1.48,0.44,"CHON","Protein","unsaturated/lignin","unsaturated/lignin"
"C21 H22 O13 S1","C21 H22 O13 S1",21,22,13,0,0,1,0.2593,0.2857,52.15755,1.05,0.62,"CHOS","Lignin","unsaturated/lignin","unsaturated/lignin"
"C25 H38 O11 13C1","C25 H38 O11 13C1",25,38,11,0,0,0,0.0769,-0.64,78.54,1.52,0.44,"CHO","Protein","aliphatic","aliphatic"
"C22 H41 O13 N1","C22 H41 O13 N1",22,41,13,1,0,0,-0.3103,-0.5455,75.84675,1.86,0.59,"CHON","Other","aliphatic","aliphatic+N"
"C20 H22 O14 N2","C20 H22 O14 N2",20,22,14,2,0,0,0.1818,0.6,43.2,1.1,0.7,"CHON","Tannin","unsaturated/lignin","unsaturated/lignin"
"C26 H41 O10 N1","C26 H41 O10 N1",26,41,10,1,0,0,0.05,-0.6923,80.03055,1.58,0.38,"CHON","Protein","aliphatic","aliphatic+N"
"C26 H42 O10 13C1","C26 H42 O10 13C1",26,42,10,0,0,0,0.0476,-0.8462,84.4167,1.62,0.38,"CHO","Protein","aliphatic","aliphatic"
"C23 H46 O10 N1 P1","C23 H46 O10 N1 P1",23,46,10,1,1,0,-0.3125,-1.2174,94.9959,2,0.43,"CHONP","Protein","aliphatic","lipid"
"C23 H45 O12 N1","C23 H45 O12 N1",23,45,12,1,0,0,-0.3125,-0.7826,82.6041,1.96,0.52,"CHON","Protein","aliphatic","aliphatic+N"
"C27 H45 O9 N1","C27 H45 O9 N1",27,45,9,1,0,0,0.0233,-0.8889,85.63365,1.67,0.33,"CHON","Protein","aliphatic","aliphatic+N"
"C27 H46 O9 13C1","C27 H46 O9 13C1",27,46,9,0,0,0,0.0222,-1.037,89.8545,1.7,0.33,"CHO","Protein","aliphatic","aliphatic"
"C24 H16 O14","C24 H16 O14",24,16,14,0,0,0,0.5882,0.5,46.05,0.67,0.58,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C21 H20 O16","C21 H20 O16",21,20,16,0,0,0,0.3077,0.5714,44.0151,0.95,0.76,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C18 H25 O16 P1","C18 H25 O16 P1",18,25,16,0,1,0,-0.2222,0.1111,57.13365,1.39,0.89,"CHOP","Other","unsaturated/lignin","unsaturated/lignin"
"C25 H20 O13","C25 H20 O13",25,20,13,0,0,0,0.5135,0.24,53.46,0.8,0.52,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C22 H24 O15","C22 H24 O15",22,24,15,0,0,0,0.2414,0.2727,52.52805,1.09,0.68,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C16 H32 O15 S2","C16 H32 O15 S2",16,32,15,0,0,2,-1.3077,0.125,56.7375,2,0.94,"CHOS","Carbohydrate","aliphatic","carbohydrate"
"C19 H29 O15 P1","C19 H29 O15 P1",19,29,15,0,1,0,-0.2381,-0.2105,66.29925,1.53,0.79,"CHOP","Carbohydrate","aliphatic","aliphatic"
"C26 H24 O12","C26 H24 O12",26,24,12,0,0,0,0.45,0,60.3,0.92,0.46,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C23 H34 O11 N2","C23 H34 O11 N2",23,34,11,2,0,0,0.0323,-0.2609,67.73565,1.48,0.48,"CHON","Protein","unsaturated/lignin","unsaturated/lignin"
"C23 H28 O14","C23 H28 O14",23,28,14,0,0,0,0.1875,0,60.3,1.22,0.61,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C22 H28 O13 N2","C22 H28 O13 N2",22,28,13,2,0,0,0.1111,0.1818,55.1187,1.27,0.59,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C26 H16 O12","C26 H16 O12",26,16,12,0,0,0,0.65,0.3077,51.53055,0.62,0.46,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C27 H28 O11","C27 H28 O11",27,28,11,0,0,0,0.3953,-0.2222,66.6327,1.04,0.41,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C19 H32 O15 N2","C19 H32 O15 N2",19,32,15,2,0,0,-0.4737,0.2105,54.30075,1.68,0.79,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C24 H32 O13","C24 H32 O13",24,32,13,0,0,0,0.1429,-0.25,67.425,1.33,0.54,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C21 H37 O13 P1","C21 H37 O13 P1",21,37,13,0,1,0,-0.2593,-0.7619,82.01415,1.76,0.62,"CHOP","Amino Sugar","aliphatic","aliphatic"
"C28 H32 O10","C28 H32 O10",28,32,10,0,0,0,0.3478,-0.4286,72.5151,1.14,0.36,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C20 H37 O12 N2 P1","C20 H37 O12 N2 P1",20,37,12,2,1,0,-0.4545,-0.6,77.4,1.85,0.6,"CHONP","Other","aliphatic","aliphatic+N"
"C25 H36 O12","C25 H36 O12",25,36,12,0,0,0,0.1053,-0.48,73.98,1.44,0.48,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C29 H36 O9","C29 H36 O9",29,36,9,0,0,0,0.3061,-0.6207,77.98995,1.24,0.31,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C24 H37 O11 N1 13C1","C24 H37 O11 N1 13C1",24,37,11,1,0,0,0.0286,-0.5,74.55,1.54,0.46,"CHON","Protein","aliphatic","aliphatic+N"
"C26 H40 O11","C26 H40 O11",26,40,11,0,0,0,0.0732,-0.6923,80.03055,1.54,0.42,"CHO","Protein","aliphatic","aliphatic"
"C22 H17 O12 N3","C22 H17 O12 N3",22,17,12,3,0,0,0.5385,0.7273,39.57195,0.77,0.55,"CHON","Cond Hydrocarbon","aromatic","aromatic"
"C27 H44 O10","C27 H44 O10",27,44,10,0,0,0,0.0455,-0.8889,85.63365,1.63,0.37,"CHO","Protein","aliphatic","aliphatic"
"C17 H25 O17 N1","C17 H25 O17 N1",17,25,17,1,0,0,-0.4667,0.7059,40.18185,1.47,1,"CHON","Other","unsaturated/lignin","unsaturated/lignin"
"C28 H48 O9","C28 H48 O9",28,48,9,0,0,0,0.0213,-1.0714,90.8349,1.71,0.32,"CHO","Protein","aliphatic","aliphatic"
"C29 H52 O8","C29 H52 O8",29,52,8,0,0,0,0,-1.2414,95.6799,1.79,0.28,"CHO","Lipid","aliphatic","aliphatic"
"C35 H60 O3","C35 H60 O3",35,60,3,0,0,0,0.1343,-1.5429,104.27265,1.71,0.09,"CHO","Lipid","aliphatic","aliphatic"
"C24 H25 O10 N3","C24 H25 O10 N3",24,25,10,3,0,0,0.375,0.1667,55.54905,1.04,0.42,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C23 H15 O14 N1","C23 H15 O14 N1",23,15,14,1,0,0,0.6,0.6957,40.47255,0.65,0.61,"CHON","Cond Hydrocarbon","aromatic","aromatic"
"C23 H16 O14 13C1","C23 H16 O14 13C1",23,16,14,0,0,0,0.5625,0.5217,45.43155,0.7,0.61,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C20 H20 O16 13C1","C20 H20 O16 13C1",20,20,16,0,0,0,0.25,0.6,43.2,1,0.8,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C24 H19 O13 N1","C24 H19 O13 N1",24,19,13,1,0,0,0.5152,0.4167,48.42405,0.79,0.54,"CHON","Cond Hydrocarbon","aromatic","aromatic"
"C24 H20 O13 13C1","C24 H20 O13 13C1",24,20,13,0,0,0,0.4857,0.25,53.175,0.83,0.54,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C23 H19 O12 N3","C23 H19 O12 N3",23,19,12,3,0,0,0.5,0.6087,42.95205,0.83,0.52,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C21 H23 O15 N1","C21 H23 O15 N1",21,23,15,1,0,0,0.2,0.4762,46.7283,1.1,0.71,"CHON","Tannin","unsaturated/lignin","unsaturated/lignin"
"C21 H24 O15 13C1","C21 H24 O15 13C1",21,24,15,0,0,0,0.1852,0.2857,52.15755,1.14,0.71,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C17 H27 O14 N3 S1","C17 H27 O14 N3 S1",17,27,14,3,0,1,-0.8333,0.7059,40.18185,1.59,0.82,"CHONS","Carbohydrate","aliphatic","aliphatic+N"
"C25 H24 O12 13C1","C25 H24 O12 13C1",25,24,12,0,0,0,0.4211,0,60.3,0.96,0.48,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C24 H23 O11 N3","C24 H23 O11 N3",24,23,11,3,0,0,0.4194,0.3333,50.80095,0.96,0.46,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C22 H27 O14 N1","C22 H27 O14 N1",22,27,14,1,0,0,0.1429,0.1818,55.1187,1.23,0.64,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C15 H36 O11 N3 P1 S2","C15 H36 O11 N3 P1 S2",15,36,11,3,1,2,-3.2857,-0.4,71.7,2.4,0.73,"CHONPS","Other","aliphatic","lipid"
"C27 H33 O9 N1","C27 H33 O9 N1",27,33,9,1,0,0,0.3023,-0.4444,72.9654,1.22,0.33,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C26 H27 O11 N1","C26 H27 O11 N1",26,27,11,1,0,0,0.3846,-0.0769,62.49165,1.04,0.42,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C19 H31 O16 N1","C19 H31 O16 N1",19,31,16,1,0,0,-0.4,0.2105,54.30075,1.63,0.84,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C26 H28 O11 13C1","C26 H28 O11 13C1",26,28,11,0,0,0,0.3659,-0.2308,66.8778,1.08,0.42,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C25 H15 O12 N1","C25 H15 O12 N1",25,15,12,1,0,0,0.6667,0.48,46.62,0.6,0.48,"CHON","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C23 H31 O13 N1","C23 H31 O13 N1",23,31,13,1,0,0,0.0968,-0.087,62.7795,1.35,0.57,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C23 H32 O13 13C1","C23 H32 O13 13C1",23,32,13,0,0,0,0.0909,-0.2609,67.73565,1.39,0.57,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C27 H31 O10 N1","C27 H31 O10 N1",27,31,10,1,0,0,0.3333,-0.2963,68.74455,1.15,0.37,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C24 H35 O12 N1","C24 H35 O12 N1",24,35,12,1,0,0,0.0588,-0.3333,69.79905,1.46,0.5,"CHON","Protein","unsaturated/lignin","unsaturated/lignin"
"C24 H36 O12 13C1","C24 H36 O12 13C1",24,36,12,0,0,0,0.0556,-0.5,74.55,1.5,0.5,"CHO","Protein","aliphatic","aliphatic"
"C21 H40 O12 N1 P1","C21 H40 O12 N1 P1",21,40,12,1,1,0,-0.3846,-0.8571,84.72735,1.9,0.57,"CHONP","Other","aliphatic","aliphatic+N"
"C28 H35 O9 N1","C28 H35 O9 N1",28,35,9,1,0,0,0.2889,-0.5,74.55,1.25,0.32,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C25 H39 O11 N1","C25 H39 O11 N1",25,39,11,1,0,0,0.027,-0.56,76.26,1.56,0.44,"CHON","Protein","aliphatic","aliphatic+N"
"C25 H40 O11 13C1","C25 H40 O11 13C1",25,40,11,0,0,0,0.0256,-0.72,80.82,1.6,0.44,"CHO","Protein","aliphatic","aliphatic"
"C22 H43 O13 N1","C22 H43 O13 N1",22,43,13,1,0,0,-0.3793,-0.6364,78.4374,1.95,0.59,"CHON","Other","aliphatic","aliphatic+N"
"C26 H43 O10 N1","C26 H43 O10 N1",26,43,10,1,0,0,0,-0.7692,82.2222,1.65,0.38,"CHON","Protein","aliphatic","aliphatic+N"
"C26 H44 O10 13C1","C26 H44 O10 13C1",26,44,10,0,0,0,0,-0.9231,86.60835,1.69,0.38,"CHO","Protein","aliphatic","aliphatic"
"C27 H47 O9 N1","C27 H47 O9 N1",27,47,9,1,0,0,-0.0233,-0.963,87.7455,1.74,0.33,"CHON","Protein","aliphatic","aliphatic+N"
"C27 H48 O9 13C1","C27 H48 O9 13C1",27,48,9,0,0,0,-0.0222,-1.1111,91.96635,1.78,0.33,"CHO","Protein","aliphatic","aliphatic"
"C17 H25 O16 P1","C17 H25 O16 P1",17,25,16,0,1,0,-0.375,0.1176,56.9484,1.47,0.94,"CHOP","Other","unsaturated/lignin","unsaturated/lignin"
"C23 H14 O15","C23 H14 O15",23,14,15,0,0,0,0.6129,0.6957,40.47255,0.61,0.65,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C28 H25 O2 N2 P1 S2","C28 H25 O2 N2 P1 S2",28,25,2,2,1,2,0.5455,-0.5714,76.5849,0.89,0.07,"CHONPS","Unsat Hydrocarbon","aromatic","aromatic"
"C20 H18 O17","C20 H18 O17",20,18,17,0,0,0,0.3043,0.8,37.5,0.9,0.85,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C17 H23 O17 P1","C17 H23 O17 P1",17,23,17,0,1,0,-0.3333,0.3529,50.24235,1.35,1,"CHOP","Other","unsaturated/lignin","unsaturated/lignin"
"C24 H18 O14","C24 H18 O14",24,18,14,0,0,0,0.5294,0.4167,48.42405,0.75,0.58,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C18 H29 O15 P1","C18 H29 O15 P1",18,29,15,0,1,0,-0.3684,-0.2222,66.6327,1.61,0.83,"CHOP","Carbohydrate","aliphatic","aliphatic"
"C21 H22 O16","C21 H22 O16",21,22,16,0,0,0,0.2308,0.4762,46.7283,1.05,0.76,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C18 H27 O16 P1","C18 H27 O16 P1",18,27,16,0,1,0,-0.3333,0,60.3,1.5,0.89,"CHOP","Carbohydrate","aliphatic","aliphatic"
"C25 H22 O13","C25 H22 O13",25,22,13,0,0,0,0.4595,0.16,55.74,0.88,0.52,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C22 H26 O15","C22 H26 O15",22,26,15,0,0,0,0.1724,0.1818,55.1187,1.18,0.68,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C26 H26 O12","C26 H26 O12",26,26,12,0,0,0,0.4,-0.0769,62.49165,1,0.46,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C23 H31 O12 P1","C23 H31 O12 P1",23,31,12,0,1,0,0.125,-0.5217,75.16845,1.35,0.52,"CHOP","Lignin","unsaturated/lignin","unsaturated/lignin"
"C23 H30 O14","C23 H30 O14",23,30,14,0,0,0,0.125,-0.087,62.7795,1.3,0.61,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
